 Round    Worker    Inserts    WPS    WPM    Time (seconds)    Time (minutes)    LatencyInsert (seconds)    LatencyTotal (seconds)
     45         5       5000     51   3060                98                 2                      0.015                        75
     45         4       5000     51   3060                98                 2                      0.015                        75
     46         2       5000     51   3060                99                 2                      0.015                        75
     46         6       5000     51   3060                99                 2                      0.015                        75
     46         4       5000     51   3060                99                 2                      0.015                        75
     46         8       5000     51   3060                99                 2                      0.015                        75
     46         7       5000     51   3060                99                 2                      0.015                        75
     46         3       5000     51   3060                99                 2                      0.015                        75
     46         1       5000     51   3060                99                 2                      0.015                        75
     46         5       5000     51   3060                99                 2                      0.015                        75
     47         6       5000     51   3060                98                 2                      0.015                        75
     47         7       5000     51   3060                98                 2                      0.015                        75
     47         1       5000     51   3060                98                 2                      0.015                        75
     47         2       5000     51   3060                98                 2                      0.015                        75
     47         5       5000     51   3060                98                 2                      0.015                        75
     47         3       5000     51   3060                98                 2                      0.015                        75
     47         4       5000     51   3060                98                 2                      0.015                        75
     47         8       5000     51   3060                98                 2                      0.015                        75
     48         3       5000     50   3000               101                 2                      0.015                        75
     48         1       5000     50   3000               101                 2                      0.015                        75
     48         8       5000     49   2940               102                 2                      0.015                        75
     48         4       5000     49   2940               102                 2                      0.015                        75
     48         7       5000     49   2940               102                 2                      0.015                        75
     48         6       5000     49   2940               102                 2                      0.015                        75
     48         5       5000     49   2940               102                 2                      0.015                        75
     48         2       5000     49   2940               102                 2                      0.015                        75
     49         2       5000     49   2940               102                 2                      0.015                        75
     49         7       5000     49   2940               102                 2                      0.015                        75
     49         1       5000     49   2940               102                 2                      0.015                        75
     49         8       5000     49   2940               102                 2                      0.015                        75
     49         5       5000     49   2940               102                 2                      0.015                        75
     49         4       5000     49   2940               102                 2                      0.015                        75
     49         6       5000     49   2940               102                 2                      0.015                        75
     49         3       5000     49   2940               102                 2                      0.015                        75
     50         8       5000     50   3000               101                 2                      0.015                        75
     50         1       5000     50   3000               101                 2                      0.015                        75
     50         7       5000     50   3000               101                 2                      0.015                        75
     50         3       5000     50   3000               101                 2                      0.015                        75
     50         2       5000     49   2940               102                 2                      0.015                        75
     50         5       5000     49   2940               102                 2                      0.015                        75
     50         6       5000     49   2940               102                 2                      0.015                        75
     50         4       5000     49   2940               102                 2                      0.015                        75
     51         1       5000     50   3000               100                 2                      0.015                        75
     51         3       5000     50   3000               100                 2                      0.015                        75
     51         4       5000     50   3000               100                 2                      0.015                        75
     51         8       5000     50   3000               100                 2                      0.015                        75
     51         2       5000     50   3000               100                 2                      0.015                        75
     51         6       5000     50   3000               100                 2                      0.015                        75
     51         5       5000     50   3000               100                 2                      0.015                        75
     51         7       5000     50   3000               100                 2                      0.015                        75
     52         8       5000     51   3060                98                 2                      0.015                        75
     52         6       5000     51   3060                99                 2                      0.015                        75
     52         7       5000     51   3060                99                 2                      0.015                        75
     52         3       5000     51   3060                99                 2                      0.015                        75
     52         5       5000     51   3060                99                 2                      0.015                        75
     52         4       5000     51   3060                99                 2                      0.015                        75
     52         1       5000     51   3060                99                 2                      0.015                        75
     52         2       5000     51   3060                99                 2                      0.015                        75
     53         3       5000     51   3060                99                 2                      0.015                        75
     53         1       5000     51   3060                99                 2                      0.015                        75
     53         4       5000     51   3060                99                 2                      0.015                        75
     53         2       5000     51   3060                99                 2                      0.015                        75
     53         5       5000     51   3060                99                 2                      0.015                        75
     53         6       5000     51   3060                99                 2                      0.015                        75
     53         7       5000     51   3060                99                 2                      0.015                        75
     53         8       5000     51   3060                99                 2                      0.015                        75
     54         6       5000     51   3060                99                 2                      0.015                        75
     54         8       5000     51   3060                99                 2                      0.015                        75
     54         4       5000     51   3060                99                 2                      0.015                        75
     54         2       5000     51   3060                99                 2                      0.015                        75
     54         7       5000     51   3060                99                 2                      0.015                        75
     54         1       5000     51   3060                99                 2                      0.015                        75
     54         5       5000     51   3060                99                 2                      0.015                        75
     54         3       5000     51   3060                99                 2                      0.015                        75
     55         3       5000     51   3060                99                 2                      0.015                        75
     55         8       5000     51   3060                99                 2                      0.015                        75
     55         2       5000     51   3060                99                 2                      0.015                        75
     55         7       5000     51   3060                99                 2                      0.015                        75
     55         6       5000     51   3060                99                 2                      0.015                        75
     55         5       5000     51   3060                99                 2                      0.015                        75
     55         4       5000     51   3060                99                 2                      0.015                        75
     55         1       5000     51   3060                99                 2                      0.015                        75
     56         5       5000     51   3060                99                 2                      0.015                        75
     56         8       5000     51   3060                99                 2                      0.015                        75
     56         3       5000     51   3060                99                 2                      0.015                        75
     56         2       5000     51   3060                99                 2                      0.015                        75
     56         6       5000     51   3060                99                 2                      0.015                        75
     56         7       5000     50   3000               100                 2                      0.015                        75
     56         4       5000     50   3000               100                 2                      0.015                        75
     56         1       5000     50   3000               100                 2                      0.015                        75
     57         5       5000     50   3000               100                 2                      0.015                        75
     57         6       5000     50   3000               100                 2                      0.015                        75
     57         4       5000     50   3000               100                 2                      0.015                        75
     57         1       5000     50   3000               100                 2                      0.015                        75
     57         3       5000     50   3000               100                 2                      0.015                        75
     57         2       5000     50   3000               100                 2                      0.015                        75
     57         8       5000     50   3000               100                 2                      0.015                        75
     57         7       5000     50   3000               101                 2                      0.015                        75
     58         8       5000     49   2940               102                 2                      0.015                        75
     58         4       5000     49   2940               102                 2                      0.015                        75
     58         5       5000     49   2940               102                 2                      0.015                        75
     58         7       5000     49   2940               102                 2                      0.015                        75
     58         6       5000     49   2940               102                 2                      0.015                        75
     58         2       5000     49   2940               102                 2                      0.015                        75
     58         3       5000     49   2940               102                 2                      0.015                        75
     58         1       5000     49   2940               102                 2                      0.015                        75
     59         8       5000     49   2940               102                 2                      0.015                        75
     59         4       5000     49   2940               102                 2                      0.015                        75
     59         7       5000     49   2940               102                 2                      0.015                        75
     59         3       5000     49   2940               102                 2                      0.015                        75
     59         1       5000     49   2940               102                 2                      0.015                        75
     59         2       5000     49   2940               102                 2                      0.015                        75
     59         5       5000     49   2940               102                 2                      0.015                        75
     59         6       5000     49   2940               102                 2                      0.015                        75
     60         2       5000     50   3000               101                 2                      0.015                        75
     60         7       5000     50   3000               101                 2                      0.015                        75
     60         4       5000     50   3000               101                 2                      0.015                        75
     60         3       5000     50   3000               101                 2                      0.015                        75
     60         6       5000     50   3000               101                 2                      0.015                        75
     60         1       5000     50   3000               101                 2                      0.015                        75
     60         5       5000     50   3000               101                 2                      0.015                        75
     60         8       5000     50   3000               101                 2                      0.015                        75
     61         7       5000     51   3060                99                 2                      0.015                        75
     61         3       5000     51   3060                99                 2                      0.015                        75
     61         1       5000     51   3060                99                 2                      0.015                        75
     61         2       5000     51   3060                99                 2                      0.015                        75
     61         6       5000     51   3060                99                 2                      0.015                        75
     61         4       5000     51   3060                99                 2                      0.015                        75
     61         8       5000     51   3060                99                 2                      0.015                        75
     61         5       5000     51   3060                99                 2                      0.015                        75
     62         3       5000     49   2940               102                 2                      0.015                        75
     62         8       5000     49   2940               102                 2                      0.015                        75
     62         6       5000     49   2940               102                 2                      0.015                        75
     62         1       5000     49   2940               102                 2                      0.015                        75
     62         4       5000     49   2940               102                 2                      0.015                        75
     62         5       5000     49   2940               102                 2                      0.015                        75
     62         2       5000     49   2940               102                 2                      0.015                        75
     62         7       5000     49   2940               102                 2                      0.015                        75
     63         3       5000     49   2940               102                 2                      0.015                        75
     63         7       5000     49   2940               102                 2                      0.015                        75
     63         2       5000     49   2940               102                 2                      0.015                        75
     63         1       5000     49   2940               102                 2                      0.015                        75
     63         4       5000     49   2940               102                 2                      0.015                        75
     63         5       5000     49   2940               102                 2                      0.015                        75
     63         8       5000     49   2940               102                 2                      0.015                        75
     63         6       5000     49   2940               102                 2                      0.015                        75
     64         6       5000     51   3060                99                 2                      0.015                        75
     64         2       5000     51   3060                99                 2                      0.015                        75
     64         7       5000     51   3060                99                 2                      0.015                        75
     64         5       5000     51   3060                99                 2                      0.015                        75
     64         3       5000     51   3060                99                 2                      0.015                        75
     64         4       5000     51   3060                99                 2                      0.015                        75
     64         8       5000     51   3060                99                 2                      0.015                        75
     64         1       5000     51   3060                99                 2                      0.015                        75
     65         1       5000     51   3060                99                 2                      0.015                        75
     65         2       5000     51   3060                99                 2                      0.015                        75
     65         3       5000     51   3060                99                 2                      0.015                        75
     65         8       5000     51   3060                99                 2                      0.015                        75
     65         4       5000     51   3060                99                 2                      0.015                        75
     65         7       5000     51   3060                99                 2                      0.015                        75
     65         5       5000     51   3060                99                 2                      0.015                        75
     65         6       5000     51   3060                99                 2                      0.015                        75
     66         5       5000     50   3000               101                 2                      0.015                        75
     66         7       5000     50   3000               101                 2                      0.015                        75
     66         1       5000     50   3000               101                 2                      0.015                        75
     66         2       5000     49   2940               102                 2                      0.015                        75
     66         4       5000     49   2940               102                 2                      0.015                        75
     66         3       5000     49   2940               102                 2                      0.015                        75
     66         8       5000     49   2940               102                 2                      0.015                        75
